"LANDING_YEAR","AGENCY_CODE","MANAGEMENT_GROUP_CODE","COMPLEX","PACFIN_SPECIES_COMMON_NAME","PACFIN_SPECIES_CODE","JAN_LANDED_WEIGHT_MTONS","JAN_LANDED_WEIGHT_PPP","JAN_EXVESSEL_REVENUE","JAN_CONFIDENTIAL_FLAG","FEB_LANDED_WEIGHT_MTONS","FEB_LANDED_WEIGHT_PPP","FEB_EXVESSEL_REVENUE","FEB_CONFIDENTIAL_FLAG","MAR_LANDED_WEIGHT_MTONS","MAR_LANDED_WEIGHT_PPP","MAR_EXVESSEL_REVENUE","MAR_CONFIDENTIAL_FLAG","APR_LANDED_WEIGHT_MTONS","APR_LANDED_WEIGHT_PPP","APR_EXVESSEL_REVENUE","APR_CONFIDENTIAL_FLAG","MAY_LANDED_WEIGHT_MTONS","MAY_LANDED_WEIGHT_PPP","MAY_EXVESSEL_REVENUE","MAY_CONFIDENTIAL_FLAG","JUN_LANDED_WEIGHT_MTONS","JUN_LANDED_WEIGHT_PPP","JUN_EXVESSEL_REVENUE","JUN_CONFIDENTIAL_FLAG","JUL_LANDED_WEIGHT_MTONS","JUL_LANDED_WEIGHT_PPP","JUL_EXVESSEL_REVENUE","JUL_CONFIDENTIAL_FLAG","AUG_LANDED_WEIGHT_MTONS","AUG_LANDED_WEIGHT_PPP","AUG_EXVESSEL_REVENUE","AUG_CONFIDENTIAL_FLAG","SEP_LANDED_WEIGHT_MTONS","SEP_LANDED_WEIGHT_PPP","SEP_EXVESSEL_REVENUE","SEP_CONFIDENTIAL_FLAG","OCT_LANDED_WEIGHT_MTONS","OCT_LANDED_WEIGHT_PPP","OCT_EXVESSEL_REVENUE","OCT_CONFIDENTIAL_FLAG","NOV_LANDED_WEIGHT_MTONS","NOV_LANDED_WEIGHT_PPP","NOV_EXVESSEL_REVENUE","NOV_CONFIDENTIAL_FLAG","DEC_LANDED_WEIGHT_MTONS","DEC_LANDED_WEIGHT_PPP","DEC_EXVESSEL_REVENUE","DEC_CONFIDENTIAL_FLAG","TOTAL_LANDED_WEIGHT_MTONS","TOTAL_LANDED_WEIGHT_PPP","TOTAL_EXVESSEL_REVENUE","TOTAL_CONFIDENTIAL_FLAG"
"1990","C","CPEL","WETF","CHUB MACKEREL","CMCK",1204.3,.05,136640,"",468.6,.06,58177,"",1473.6,.06,198113,"",239.7,.06,31231,"",464,.06,65809,"",3570.2,.06,506564,"",5804,.06,783110,"",6279.8,.06,847739,"",5140.9,.06,666356,"",5123.6,.06,692731,"",584.1,.07,84183,"",689.3,.06,98407,"",31042.1,,4169060,""
"1990","C","CPEL","WETF","JACK MACKEREL","JMCK",140.7,.05,15750,"",830,.06,107149,"",78,.05,8650,"",159.8,.06,20904,"",165.1,.06,23385,"",134,.07,19390,"",485.4,.06,66305,"",376.4,.06,50577,"",258.8,.06,34387,"",538.1,.06,75404,"",46.6,.09,9020,"",41.4,.13,11774,"",3254.3,,442695,""
"1990","C","CPEL","WETF","MARKET SQUID","MSQD",2991.2,.06,381936,"",874.3,.06,108838,"",,,,"*",111.9,.05,12621,"",1363.7,.08,242625,"",2208.3,.07,349093,"",1247.5,.08,221508,"",933,.09,190528,"",265,.1,58937,"",2562.1,.08,441681,"",8287.2,.07,1239343,"",7602.4,.09,1482326,"",28446.6,,4729436,"*"
"1990","C","CPEL","WETF","NORTHERN ANCHOVY","NANC",19,.08,3275,"",18,.1,3778,"",146.6,.04,14213,"",431.7,.07,62643,"",703.4,.08,130487,"",429.8,.09,84230,"",397,.09,81682,"",510.2,.07,84295,"",413.1,.08,71813,"",76.1,.08,13990,"",43.2,.1,9700,"",20.4,.52,23325,"",3208.5,,583431,""
"1990","C","CPEL","WETF","PACIFIC SARDINE","PSDN",829.8,.05,88342,"",132.4,.04,12452,"",330.5,.06,46861,"",50,.08,8670,"",,,,"*",88.4,.05,9867,"",61.2,.04,5679,"",19.3,.06,2375,"",64.6,.05,6837,"",28.8,.05,3128,"",,,,"*",,,,"*",1605,,184211,"*"
"1990","C","CPEL","WETF","UNSP. MACKEREL","UMCK",1893.4,.05,209153,"",1827.5,.06,239475,"",1141.5,.06,153513,"",305.4,.06,43258,"",88,.05,10125,"",101.5,.08,18435,"",714.6,.07,105490,"",585.2,.06,80512,"",1424.9,.06,185500,"",856.8,.07,123136,"",77.4,.08,12921,"",22.7,.07,3394,"",9038.9,,1184912,""
"1990","C","CRAB","....","DUNGENESS CRAB","DCRB",110.2,1.71,416223,"",47.9,1.99,209876,"",64.2,2.03,287359,"",74.3,1.96,321124,"",31.3,2.03,140209,"",13.8,2.22,67536,"",3.7,2.19,18060,"",,,,"*",.3,.71,521,"",3.3,1.8,12985,"",322.2,2.11,1498456,"",4031.7,1.5,13301142,"",4702.9,,16273491,"*"
"1990","C","CRAB","....","OTHER CRAB","OCRB",3.1,.57,3839,"",3.6,.73,5737,"",3.7,.67,5533,"",2.6,.63,3577,"",4,.61,5352,"",3.1,.6,4182,"",3.3,.7,5095,"",4.7,.72,7491,"",3.9,.59,5030,"",3.5,.61,4772,"",3.5,.62,4775,"",3.8,.64,5418,"",42.8,,60801,""
"1990","C","CRAB","....","ROCK CRAB","RCRB",57.2,1,125858,"",52.8,1.01,118059,"",70.1,1.02,157158,"",66.4,1.01,148033,"",74.5,1.01,166456,"",78.3,1.03,177519,"",88.5,1,195004,"",81.8,1.03,185544,"",80,1.03,181200,"",59.4,1.02,134237,"",52.6,1.01,116873,"",49.8,1.03,112789,"",811.4,,1818730,""
"1990","C","CRAB","....","UNSP. CRAB","UCRB",2.4,.31,1652,"",4,.26,2287,"",2.8,.3,1886,"",2.7,.28,1658,"",2.5,.28,1566,"",2.4,.34,1809,"",2.2,.32,1549,"",3.3,.29,2133,"",1.6,.3,1075,"",2,.33,1468,"",2.2,.32,1532,"",1.2,.28,723,"",29.3,,19338,""
"1990","C","CRAB","KCRB","UNSP. KING CRAB","UKCR",,,,"",,,,"*",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",0,,0,"*"
"1990","C","GRND","FLAT","NOM. ARROWTOOTH FLOUNDER","ART1",,,,"*",2.4,.1,530,"",3.8,.1,828,"",2.5,.1,552,"",1.4,.1,315,"",3.9,.1,863,"",4.5,.1,995,"",10.6,.11,2637,"",12.7,.1,2826,"",5.7,.12,1519,"",3.2,.12,838,"",,,,"*",50.7,,11903,"*"
