"LANDING_YEAR","AGENCY_CODE","MANAGEMENT_GROUP_CODE","COMPLEX","PACFIN_SPECIES_COMMON_NAME","PACFIN_SPECIES_CODE","JAN_LANDED_WEIGHT_MTONS","JAN_LANDED_WEIGHT_PPP","JAN_EXVESSEL_REVENUE","JAN_CONFIDENTIAL_FLAG","FEB_LANDED_WEIGHT_MTONS","FEB_LANDED_WEIGHT_PPP","FEB_EXVESSEL_REVENUE","FEB_CONFIDENTIAL_FLAG","MAR_LANDED_WEIGHT_MTONS","MAR_LANDED_WEIGHT_PPP","MAR_EXVESSEL_REVENUE","MAR_CONFIDENTIAL_FLAG","APR_LANDED_WEIGHT_MTONS","APR_LANDED_WEIGHT_PPP","APR_EXVESSEL_REVENUE","APR_CONFIDENTIAL_FLAG","MAY_LANDED_WEIGHT_MTONS","MAY_LANDED_WEIGHT_PPP","MAY_EXVESSEL_REVENUE","MAY_CONFIDENTIAL_FLAG","JUN_LANDED_WEIGHT_MTONS","JUN_LANDED_WEIGHT_PPP","JUN_EXVESSEL_REVENUE","JUN_CONFIDENTIAL_FLAG","JUL_LANDED_WEIGHT_MTONS","JUL_LANDED_WEIGHT_PPP","JUL_EXVESSEL_REVENUE","JUL_CONFIDENTIAL_FLAG","AUG_LANDED_WEIGHT_MTONS","AUG_LANDED_WEIGHT_PPP","AUG_EXVESSEL_REVENUE","AUG_CONFIDENTIAL_FLAG","SEP_LANDED_WEIGHT_MTONS","SEP_LANDED_WEIGHT_PPP","SEP_EXVESSEL_REVENUE","SEP_CONFIDENTIAL_FLAG","OCT_LANDED_WEIGHT_MTONS","OCT_LANDED_WEIGHT_PPP","OCT_EXVESSEL_REVENUE","OCT_CONFIDENTIAL_FLAG","NOV_LANDED_WEIGHT_MTONS","NOV_LANDED_WEIGHT_PPP","NOV_EXVESSEL_REVENUE","NOV_CONFIDENTIAL_FLAG","DEC_LANDED_WEIGHT_MTONS","DEC_LANDED_WEIGHT_PPP","DEC_EXVESSEL_REVENUE","DEC_CONFIDENTIAL_FLAG","TOTAL_LANDED_WEIGHT_MTONS","TOTAL_LANDED_WEIGHT_PPP","TOTAL_EXVESSEL_REVENUE","TOTAL_CONFIDENTIAL_FLAG"
"1990","O","CPEL","WETF","CHUB MACKEREL","CMCK",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"*",1.9,.21,908,"",7.6,.15,2476,"",.7,.14,206,"",,,,"*",,,,"",,,,"",10.2,,3590,"*"
"1990","O","CRAB","....","DUNGENESS CRAB","DCRB",707,1.33,2071373,"",303.8,1.5,1005712,"",301.8,1.66,1105296,"",136.9,1.75,529084,"",118.7,1.83,478940,"",80.5,1.87,332598,"",100.7,1.93,429170,"",64.7,1.89,270086,"",5.7,1.79,22383,"",14.6,1.85,59663,"",6.9,1.85,27971,"",2472.3,1.51,8221648,"",4313.6,,14553924,""
"1990","O","CRAB","....","OTHER CRAB","OCRB",,,,"",,,,"",,,,"*",,,,"*",,,,"*",,,,"",,,,"*",,,,"*",,,,"*",,,,"",,,,"",,,,"",0,,0,"*"
"1990","O","CRAB","....","ROCK CRAB","RCRB",,,,"",,,,"*",,,,"*",,,,"*",,,,"*",,,,"*",,,,"*",,,,"*",,,,"*",.8,1.05,1773,"",.3,.89,528,"",,,,"*",1.1,,2301,"*"
"1990","O","GRND","FLAT","ARROWTOOTH FLOUNDER","ARTH",39.7,.1,8700,"",37.8,.1,8233,"",99.3,.09,20606,"",61,.1,13448,"",137.6,.1,30518,"",189.8,.1,40955,"",445.6,.1,100223,"",375.7,.1,86514,"",270.2,.11,63606,"",84.2,.12,21681,"",37.8,.12,9811,"",36.2,.12,9176,"",1814.9,,413471,""
"1990","O","GRND","FLAT","CURLFIN SOLE","CSOL",,,,"",,,,"*",,,,"",,,,"",,,,"*",,,,"*",,,,"*",,,,"*",,,,"*",,,,"",,,,"",,,,"",0,,0,"*"
"1990","O","GRND","FLAT","DOVER SOLE","DOVR",580.3,.27,342717,"",589.3,.27,351149,"",1341.3,.27,786430,"",832.8,.28,505226,"",558,.27,336287,"",321.6,.27,193087,"",474.4,.27,283290,"",761.1,.27,456917,"",892.2,.27,535214,"",400.8,.29,255763,"",342.9,.29,220127,"",413.8,.29,265311,"",7508.5,,4531518,""
"1990","O","GRND","FLAT","ENGLISH SOLE","EGLS",21,.34,15811,"",23.6,.32,16595,"",34.8,.32,24921,"",10.3,.31,7092,"",29.8,.3,19949,"",41.5,.31,28508,"",61.8,.31,41610,"",108.9,.31,74282,"",118.5,.31,79952,"",31,.32,21857,"",17,.32,12011,"",10.9,.32,7721,"",509.1,,350309,""
"1990","O","GRND","FLAT","FLATHEAD SOLE","FSOL",,,,"",,,,"",,,,"*",,,,"*",,,,"",,,,"*",,,,"*",,,,"",,,,"",,,,"*",,,,"",,,,"",0,,0,"*"
"1990","O","GRND","FLAT","PACIFIC SANDDAB","PDAB",3.7,.25,2013,"",9.9,.25,5377,"",12.5,.25,6740,"",6.3,.28,3845,"",14.1,.29,9010,"",9.5,.29,6018,"",7.8,.28,4877,"",27.1,.28,16813,"",53.3,.29,33727,"",22.3,.29,14017,"",16.2,.29,10514,"",12.3,.3,8122,"",195,,121073,""
"1990","O","GRND","FLAT","PETRALE SOLE","PTRL",170,.83,310128,"",70.2,.84,130268,"",48.6,.85,90929,"",14.3,.85,26828,"",17.3,.85,32283,"",25.3,.85,47265,"",44.4,.84,82522,"",69.9,.83,127620,"",48.4,.83,88652,"",17.7,.82,32073,"",40.1,.82,72615,"",177.4,.81,316985,"",743.6,,1358168,""
"1990","O","GRND","FLAT","REX SOLE","REX",15.7,.33,11501,"",23.5,.31,16168,"",17.6,.33,12944,"",10,.33,7168,"",13.8,.32,9638,"",22.4,.32,15693,"",30.9,.31,21368,"",27.5,.32,19420,"",32.8,.32,23141,"",13.6,.31,9241,"",8.1,.31,5468,"",10.9,.31,7388,"",226.8,,159138,""
"1990","O","GRND","FLAT","ROCK SOLE","RSOL",,,,"*",,,,"",,,,"",,,,"",,,,"*",,,,"*",,,,"*",.4,.3,259,"",,,,"*",,,,"",,,,"",,,,"",.4,,259,"*"
"1990","O","GRND","FLAT","SAND SOLE","SSOL",,,,"*",,,,"*",1.3,.75,2169,"",4.6,.74,7467,"",18.8,.74,30788,"",23.9,.74,39269,"",56.5,.73,91293,"",71.8,.75,117951,"",30.1,.75,49684,"",1.9,.74,3042,"",2.8,.75,4551,"",,,,"*",211.7,,346214,"*"
"1990","O","GRND","FLAT","STARRY FLOUNDER","STRY",,,,"*",2.1,.14,626,"",7.3,.3,4793,"",2.5,.29,1607,"",4.5,.29,2837,"",4.2,.29,2654,"",40.1,.29,26018,"",26.2,.29,17040,"",12.1,.29,7724,"",6,.3,3921,"",3,.29,1896,"",,,,"*",108,,69116,"*"
"1990","O","GRND","MGRN","SPINY DOGFISH","DSRK",,,,"*",,,,"*",,,,"*",,,,"*",,,,"",,,,"*",,,,"*",,,,"*",,,,"*",,,,"*",,,,"",,,,"*",0,,0,"*"
"1990","O","GRND","MGRN","UNSP. GRENADIERS","GRDR",,,,"*",,,,"*",,,,"*",,,,"*",,,,"*",,,,"*",10.2,.11,2436,"",22.4,.11,5629,"",12.4,.14,3836,"",11.1,.11,2771,"",7.8,.14,2399,"",5.8,.19,2384,"",69.7,,19455,"*"
"1990","O","GRND","MGRN","SPOTTED RATFISH","RATF",,,,"",,,,"",,,,"",,,,"*",,,,"*",,,,"*",,,,"",,,,"*",,,,"*",,,,"",,,,"",,,,"",0,,0,"*"
"1990","O","GRND","MGRN","SOUPFIN SHARK","SSRK",.1,.73,194,"",.1,.5,71,"",.1,1.31,171,"",,,,"*",.1,.99,169,"",.2,.73,369,"",.2,.85,371,"",.6,.62,793,"",.2,.83,386,"",.1,.7,111,"",,,,"*",,,,"*",1.7,,2635,"*"
