"LANDING_YEAR","AGENCY_CODE","MANAGEMENT_GROUP_CODE","COMPLEX","PACFIN_SPECIES_COMMON_NAME","PACFIN_SPECIES_CODE","JAN_LANDED_WEIGHT_MTONS","JAN_LANDED_WEIGHT_PPP","JAN_EXVESSEL_REVENUE","JAN_CONFIDENTIAL_FLAG","FEB_LANDED_WEIGHT_MTONS","FEB_LANDED_WEIGHT_PPP","FEB_EXVESSEL_REVENUE","FEB_CONFIDENTIAL_FLAG","MAR_LANDED_WEIGHT_MTONS","MAR_LANDED_WEIGHT_PPP","MAR_EXVESSEL_REVENUE","MAR_CONFIDENTIAL_FLAG","APR_LANDED_WEIGHT_MTONS","APR_LANDED_WEIGHT_PPP","APR_EXVESSEL_REVENUE","APR_CONFIDENTIAL_FLAG","MAY_LANDED_WEIGHT_MTONS","MAY_LANDED_WEIGHT_PPP","MAY_EXVESSEL_REVENUE","MAY_CONFIDENTIAL_FLAG","JUN_LANDED_WEIGHT_MTONS","JUN_LANDED_WEIGHT_PPP","JUN_EXVESSEL_REVENUE","JUN_CONFIDENTIAL_FLAG","JUL_LANDED_WEIGHT_MTONS","JUL_LANDED_WEIGHT_PPP","JUL_EXVESSEL_REVENUE","JUL_CONFIDENTIAL_FLAG","AUG_LANDED_WEIGHT_MTONS","AUG_LANDED_WEIGHT_PPP","AUG_EXVESSEL_REVENUE","AUG_CONFIDENTIAL_FLAG","SEP_LANDED_WEIGHT_MTONS","SEP_LANDED_WEIGHT_PPP","SEP_EXVESSEL_REVENUE","SEP_CONFIDENTIAL_FLAG","OCT_LANDED_WEIGHT_MTONS","OCT_LANDED_WEIGHT_PPP","OCT_EXVESSEL_REVENUE","OCT_CONFIDENTIAL_FLAG","NOV_LANDED_WEIGHT_MTONS","NOV_LANDED_WEIGHT_PPP","NOV_EXVESSEL_REVENUE","NOV_CONFIDENTIAL_FLAG","DEC_LANDED_WEIGHT_MTONS","DEC_LANDED_WEIGHT_PPP","DEC_EXVESSEL_REVENUE","DEC_CONFIDENTIAL_FLAG","TOTAL_LANDED_WEIGHT_MTONS","TOTAL_LANDED_WEIGHT_PPP","TOTAL_EXVESSEL_REVENUE","TOTAL_CONFIDENTIAL_FLAG"
"1990","W","CPEL","WETF","NORTHERN ANCHOVY","NANC",,,,"",,,,"",,,,"",,,,"",,,,"*",,,,"*",,,,"*",,,,"*",,,,"*",,,,"",,,,"",,,,"",0,,0,"*"
"1990","W","CPEL","WETF","UNSP. MACKEREL","UMCK",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"*",,,,"",,,,"",,,,"",0,,0,"*"
"1990","W","CRAB","....","DUNGENESS CRAB","DCRB",1188.7,1.26,3306214,"",684.5,1.44,2167185,"",494.3,1.55,1693974,"",167.6,1.69,624179,"",212.2,1.78,830956,"",110.1,1.88,457347,"",128.1,1.71,484240,"",111.5,1.85,453424,"",79.1,1.75,305515,"",670.5,1.81,2669472,"",91,1.83,367881,"",1528.9,1.52,5131124,"",5466.5,,18491511,""
"1990","W","CRAB","....","ROCK CRAB","RCRB",,,,"",,,,"",,,,"",,,,"*",,,,"",,,,"*",,,,"*",,,,"*",,,,"*",,,,"",,,,"",,,,"",0,,0,"*"
"1990","W","GRND","FLAT","ARROWTOOTH FLOUNDER","ARTH",28.4,.1,6234,"",97.3,.1,22059,"",228.2,.1,51848,"",120.3,.11,28160,"",392.5,.11,92782,"",515.8,.11,120526,"",704.9,.1,162113,"",1143.7,.11,265294,"",508.2,.11,122014,"",96.8,.12,24698,"",36,.12,9227,"",89.7,.11,21313,"",3961.8,,926268,""
"1990","W","GRND","FLAT","BUTTER SOLE","BSOL",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"*",,,,"",,,,"",,,,"",,,,"",0,,0,"*"
"1990","W","GRND","FLAT","DOVER SOLE","DOVR",117.4,.27,70281,"",166.8,.27,99264,"",381.6,.26,221446,"",201.5,.26,115995,"",127.4,.27,75296,"",65.3,.27,38425,"",100.9,.27,59217,"",157.3,.26,91791,"",193,.27,114549,"",104.9,.28,64970,"",115.2,.29,72385,"",147.7,.28,92693,"",1879,,1116312,""
"1990","W","GRND","FLAT","ENGLISH SOLE","EGLS",20,.32,14025,"",25.6,.33,18667,"",50,.33,35947,"",35.9,.33,26144,"",46.8,.32,33414,"",101.1,.32,70603,"",62.9,.32,44677,"",90.5,.33,65403,"",94.9,.32,67743,"",76.6,.33,55745,"",46.2,.33,33611,"",20.3,.32,14443,"",670.8,,480422,""
"1990","W","GRND","FLAT","PETRALE SOLE","PTRL",85.5,.82,153742,"",21.4,.84,39688,"",27.9,.83,51262,"",12.4,.84,23065,"",19,.85,35714,"",31.6,.85,59035,"",20.2,.85,37793,"",24.6,.85,46109,"",28.6,.85,53561,"",9.5,.85,17876,"",6.9,.85,12912,"",54.6,.85,102182,"",342.2,,632939,""
"1990","W","GRND","FLAT","REX SOLE","REX",4,.3,2643,"",2,.29,1279,"",10.2,.26,5879,"",3.7,.31,2519,"",11.8,.31,8210,"",12.7,.31,8587,"",6.4,.31,4401,"",14.8,.32,10339,"",8.9,.31,6055,"",8.5,.3,5669,"",1.5,.28,911,"",,,,"*",84.5,,56492,"*"
"1990","W","GRND","FLAT","ROCK SOLE","RSOL",4.8,.38,4016,"",6.4,.38,5345,"",5.8,.35,4532,"",1.3,.32,916,"",2.9,.36,2308,"",1.1,.34,841,"",1.6,.32,1105,"",.3,.3,226,"",,,,"*",1.3,.3,857,"",.4,.33,305,"",2.7,.37,2209,"",28.6,,22660,"*"
